Date,Close
7/20/2020,28418
7/21/2020,28415
7/22/2020,28411
7/23/2020,28406.5
7/24/2020,28406.5
7/27/2020,28389
7/28/2020,28385
7/29/2020,29000
7/30/2020,29175
7/31/2020,29000
8/3/2020,30200
8/4/2020,33000
8/5/2020,33100
8/6/2020,33096
8/7/2020,33096
8/10/2020,33079
8/11/2020,33070.5
8/12/2020,33070.5
8/13/2020,33066
8/14/2020,33066
8/17/2020,33049
8/18/2020,33045.5
8/19/2020,33043
8/20/2020,33043
8/21/2020,33044.5
8/24/2020,33028.5
8/25/2020,33025.5
8/26/2020,33017.5
8/27/2020,33023
8/28/2020,33024.5
9/1/2020,33008.5
9/2/2020,33005.5
9/3/2020,33006.5
9/4/2020,33002
9/7/2020,32990
9/8/2020,32987
9/9/2020,33000
9/10/2020,33000
9/11/2020,33000
9/14/2020,33000
9/15/2020,33002
9/16/2020,33984
9/17/2020,33983.5
9/18/2020,33980.5
9/21/2020,33969
9/22/2020,33966
9/23/2020,33963
9/24/2020,33962.5
9/25/2020,33963.75
9/28/2020,33944.5
9/29/2020,33945.5
9/30/2020,33942.5
10/1/2020,33924.5
10/2/2020,33926
10/5/2020,33923
10/6/2020,33500
10/7/2020,33497
10/8/2020,33498
10/9/2020,33498
10/12/2020,33482
10/13/2020,33478.75
10/14/2020,33000
10/15/2020,33000
10/16/2020,33000
10/19/2020,32985.75
10/20/2020,32984.25
10/21/2020,32981.75
10/22/2020,32984.5
10/23/2020,32987.25
10/26/2020,32968.5
10/27/2020,32966
10/28/2020,32963.5
10/29/2020,32966
10/30/2020,32498.5
11/2/2020,32479.75
11/3/2020,32477
11/4/2020,32474.25
11/5/2020,32477
11/6/2020,32479.5
11/9/2020,32463.25
11/10/2020,32458
11/11/2020,32455
11/12/2020,32457.5
11/13/2020,32460.25
11/16/2020,32441.5
11/17/2020,31999.5
11/18/2020,31997.5
11/19/2020,32000
11/20/2020,31998.5
11/23/2020,31980.5
11/24/2020,31982.5
11/25/2020,31977
11/26/2020,31982.5
11/27/2020,31986
11/30/2020,31989.5
12/1/2020,31977
12/2/2020,31975
12/3/2020,31980.5
12/4/2020,31978.5
12/7/2020,31961
12/8/2020,31575
12/9/2020,31573
12/10/2020,31579
12/11/2020,31700
12/14/2020,31686.5
12/15/2020,31775
12/16/2020,31780
12/17/2020,32000
12/18/2020,32000
12/21/2020,32000
12/22/2020,32000
12/23/2020,32000
12/24/2020,32000
12/29/2020,31991.5
12/30/2020,31998
12/31/2020,31998
1/4/2021,33000
1/5/2021,34000
1/6/2021,35500
1/7/2021,36500
1/8/2021,36500
1/11/2021,37000
1/12/2021,37000
1/13/2021,38000
1/14/2021,37995
1/15/2021,37500
1/18/2021,37491
1/19/2021,37500
1/20/2021,37500
1/21/2021,38500
1/22/2021,39600
1/25/2021,40000
1/26/2021,40350
1/27/2021,41250
1/28/2021,41246.5
1/29/2021,41243
2/1/2021,41239.5
2/2/2021,42976
2/3/2021,44476
